겨개천 얼 햑푸 총 처 차어렆	LOC-B O O O O O
책갈피 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54 00 54	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
와우 더 대단하다 Rose 그의	O O O O O
한국어 하나도 엄청 힘들텐데 진짜 대단하다 사랑해	O O O O O O O
스웨덴 할매 끼부리던 처녀시절	LOC-B O O O
오늘도 왔다 많이 보고싶다앜	DAT-B O O O
하 이번엔 또 뭘 보여줄까 마이노 사랑해	O O O O O PER-B O
만약 모든것이 완벽하지 않다해도 좋다	O O O O O
마라탕탕탕탕 마라탕 광고해도 되겠네	O O O O
탕 이랑 찰떡인 뮤비 계속계속 돌려볼거야	O O O O O O
그리고 당신이 인사하는 것이 너무 좋습니다	O O O O O O
이번 안무 완전 깔끔 너무 좋음 음방에서는 잘 안보여서 아쉬웠는데 이렇게 보니 빨리 콘서트 가고 싶어	O O O O O O O O O O O O O O O O
갈갈갈 갈갈갉칵 칵 가깔가 갈갈갈 갈갈갈갈각갈갈갈갉라 갈갈갈 갈갈칵 락 캍	O O O O O O O O O O
마이노 하고 싶은거 다해	PER-B O O O
블랙핑크FC 여러분 안녕하세요	ORG-B O O
0 40 첫부분 멋지네 탕탕	O O O O O
탕 너무 기대돼 그 와중에 0 49 2 52 버블 알람 인줄	O O O O O O O O O O O O
쎅 시 하니 까악 이거 너무 좋다	O FLD-B O O O O O
여름 플레이리스트에 이노래는 필수	DAT-B O O O
하 진짜 심장이 참 아프다	O O O O O
크리스마스에 들어야 될 것 같아	DAT-B O O O O
쇼츠에 빨리 올라오면 좋겠다 대박기원	O O O O O
마이노 너무 멋져요 빨리 완전체로 무대 보고싶다	PER-B O O O O O O
Jenny의 생일을 위한 멋진 비디오 새해 복 많이 받으세요	PER-B O O O O DAT-B O O O
갑자기 밤에 생각나서 온사람 손	O TIME-B O O O
미노렉은 XX 때부터 제가 좋아하는 앨범 홍보 영상이었어요	PER-B O O O O O O O
어쩔 오키도키 하면 어떻게 떼창을 안해	O LOC-B O O O O
프로듀서들 아직몰라 아직몰라 하는거 웃기다 본인들 빼고 다 아는구만	O O O O O O O O O
