아티스트e	아티스트k	장르	멤버	역할	앨범	곡	프로그램	브랜드	음원플랫폼	수상	기획사	행사	외국지명	팬덤k	팬덤e	기타	배우e	배우k	한국지명	직업	행사2	수상2	방송플랫폼	작품	장르2	기업
BIGBANG	빅뱅	EDM	T.O.P	메인보컬	ALWAYS	Heartbreaker	싱어게인	루이비통	싸이월드	Korean Music Awards	SM엔터테인먼트	2010년 남아공 월드컵	LA	네버랜드	ABNEW	케이팝	CHA SEOUNG WON	차승원	대한민국	강사	S/S 서울컬렉션	코리아 베스트 드레서	SBS	괜찮아 사랑이야	웹드라마	BC카드
Boy Band	보이그룹	R&B	태양	메인댄서	HOT ISSUE	삐딱하게 (Crooked)	히든싱어	크롬 하츠	백비트	한국대중음악상	DSP 미디어	일본 돔투어	가와사키	더비	ARMY	인플루언서	JUNG HYE YOUNG	정희영	한국	교사		아시아 모델 시상식	TV조선	선암여고 탐정단	드라마	BHG백화점
WINNER	SG워너비	댄스	G-DRAGON	메인래퍼	STAND UP	거짓말	설강화	톰 브라운	소리바다	서울가요대상	YG엔터테인먼트	MADE 월드투어	고베	러볼리	AROHA	남돌	JANG HYUN SUNG	장현성	우리나라	선생님		밀라노 패션위크	JTBC	설강화	시트콤	CGV
 SS501	김종국	댄스팝	대성	리드보컬	MADE	뱅뱅뱅 (BANG BANG BANG)	조선구마사	생로랑	멜론	싸이월드 디지털 뮤직 어워드	JYP엔터테인먼트	SMTOWN	나가사키	러브	ATINY	여돌	KIM HEE AE	김희애	경기도	교수		돌체앤가바나	KBS2	남고괴담	영화	GS칼텍스
2NE1	버즈	디스코	탑	리드댄서	FANTASTIC BABY 	LOSER	아이리스	MCM	Mnet	MAMA	빅히트	에스엠타운	나고야	레베럽	CARAT	방통위	CHOI JI WOO	최지우	경기북부	박사		칸영화제	tvN	독전	예능	IBK투자증권
(G)I-DLE	동방신기	랩	지드래곤	리드래퍼	2014 S/S	BAE BAE	패밀리가 떴다	삼성전자	오리콘 차트	MKMF	하이브	SM타운	난징	루비티	Daileee	버닝썬	YOO IN NA	유인나	경기남부	석사			MBC	괴이	단편극	LG전자
AB6IX	슈퍼주니어	레게	승리	서브보컬	ALIVE	200%	동창생	현대카드	닛폰 테레비	MTV 유럽 뮤직 어워드	SM	월드컵	남아메리카	마이	E.L.F	블루레이	GYEONG SU JIN	경수진	강원도	학사			Mnet	멜랑꼴리아	웹드	SPC그룹
BOL4	양현석	록 음악	DAESUNG	서브댄서	ALWAYS	AH YEAH	아이 엠 샘	데이즈드	SBS	MBC 방송대상	YG	월드케이팝콘서트	뉴어크	멜로디	ENGENE	빠순이	CLAUDIA KIM	수현	충청도	번역가			넷플릭스	홍천기	정통사극	롯데관광개발
BTS	EXO	록발라드	TAEYANG	서브래퍼	BIGBANG	AIRPLANE	나인틴	나이키	KBS	골든디스크 시상식	JYP		뉴욕	모아	EXO-L	빌런	LEE SUNG KYOUNG	이성경	충청북도	사서			디즈니플러스	싱글 인 서울	픽션사극	롯데홈쇼핑
ENHYPEN	위너	락 음악	지디	리더	BIGBANG 03	Always	런닝맨	아디다스	MBC	멜론 뮤직 어워드	HYBE		다련	몬베베	FANTASY	사녹	KANG SEUNG YOON	강승윤	충청남도	연구원			티빙	마이썬	퓨전사극	마이크로소프트
EXO	젝스키스	락발라드	은지원	비주얼	BIGBANG IS V.I.P.	BABY BABY	해피투게더	데상트	가온 차트	MMA	빌리프랩		대만	무무	flover	셀럽	GANG DONG WON	강동원	경상도	장학사			쿠팡플레이	꼬리에 꼬리를 무는 그날 이야기	코믹퓨전사극	마켓컬리
fromis_9	GD X TAEYANG	뮤지컬	이재진	보컬	Com’ Back	BAE BAE	유희열의 스케치북	노스페이스	무한도전	엠넷 아시안 뮤직 어워드	브랜뉴뮤직		도쿄	믿지	LoBoly	과즙미	JANG KI YONG	장기용	경상북도	조교			왓챠	이야기끈	휴먼물	소프트뱅크
HYBE LABELS	GD&TOP	발라드	김재덕	댄서	CROSS	Big Boy	냉장고를 부탁해	푸마	중국 QQ뮤직	QQ 뮤직 어워드	울림		동남아시아	샤이니월드	LOVE	걸크러쉬	LEE SOO HYUK	이수혁	경상남도	학자			웨이브	더 먹고 가	휴먼멜로	스튜디오드래곤
ITZY	블랙핑크	블루스	장수원	래퍼	EVERYD4Y	BLING BLING	삼시세끼	컨버스	네이버 V앱	가온차트 K-POP 어워드	스타쉽		라스베가스	소원	LUVITY	걸크러시	SEO JEONG YEON	서정연	전라도	교감			wavve	티키타CAR		엔씨소프트
JYP ENTERTAINMENT	악동뮤지션	소울 음악	강성훈	센터	EXIT : E	BOY	판타스틱 듀오	무신사	올레	스타일아이콘어워즈	판타지오		런던	스테이	MELODY	대체불가토큰	KWON HYUN BIN	권현빈	전라남도	교장			TVING	더 문		엔비디아
MONSTA X	아이콘	어쿠스틱 음악	강승윤	댄스가수	Good Boy	BREATHE	K팝스타	마녀공장	벅스	가요대전	플레디스		로스앤젤레스	아로하	Midzy	대학수학능력시험	SON NA EUN	손나은	전라북도	원장			브이라이브	백스피릿		이마트24
NCT	악뮤	일렉트로닉	고지용	남자솔로	HOT ISSUE	BUTTERFLY	딩고뮤직	디올	엠넷	일본 레코드대상	마루기획		리마	아미	MOA	랜덤플레이댄스	LEE JU MYOUNG	이주명	제주도	훈장			V LIVE	시고르 경양식		푸라닭
NCT 127	젝스키스	일렉트로닉 뮤직	구준회	남자그룹	i DECIDE	Com’ Back	쇼미더머니	뷰티스토리	지니	이탈리안 MTV 어워즈	위에화		마닐라	에비뉴	MOOMOO	레드카펫	JANG DEOK SU	장덕수	울릉도	게이샤			네이버TV	새해전야		배달의민족
NCT DREAM	젝키	재즈	김동혁	남성솔로	LALISA	Crying Game	아는형님	엘르코리아	네이버	서울가요대상	인터파크		마이애미	에이티니	MY	멀티버스	MUN JI HYO	문지효	독도	경호원			디즈니+	시나브로 꿈 조작단		스타벅스
NCT U	하이수현	컨트리 뮤직	김재덕	남성그룹	NEW KIDS : CONTINUE	DINOSAUR	복면가왕		JTBC	싱가포르 엔터테인먼트 어워드(SEA)	카카오		마카오	엔시티즌	NCTzen	뮤비	YU YEON SU	유연수	철원	기생			시즌	마우스		스벅
Red Velvet	(여자)아이들	테크노	김진우	남성보컬	NEW KIDS : THE FINAL	DIRTY CASH	킹덤		뮤직뱅크	대중문화예술상	안테나		맨체스터	엔진	ONCE	뮤직비디오	CHOI DA HYE	최다혜	동주천	대리운전			HBO	키마이라		YG플러스
SF9	뉴이스트	트로트	김진환	솔로가수	NEXT EPISODE	EVERYDAY	퀸덤		인기가요	대한민국 콘텐츠 어워드	CJ ENM		멕시코	엘프	Panda	민초파	SEO YI SEO	서이서	의정부	장의사			BBC코리아	지금 헤어지는 중입니다		크래프톤
SHINee	더보이즈	팝 음악	대성	싱어송라이터	PLAY	Forever With U	로드투킹덤		엠카운트다운	일본 NTV 베스트히트가요제	iHQ		멜버른	원스	ReVeluv	방심위	NAM KYU HEE	남규희	남양주	상조			블룸버그통신	간 떨어지는 동거		제이콘텐트리
SM ENTERTAINMENT	레드벨벳	펑크	도영	힙합가수	R	Forever Young	슈퍼스타K		음악중심	니켈로디언 키즈 초이스 어워드	WM엔터		미국	캐럿	S♡NE	빅데이터	PARK TAE IN	박태인	가평	세신사			NBC뉴스	새콤달콤		카카오뱅크
Stray Kids	마마무	포크송	로제	주연배우	Remember	Give Love	싱어게인2		쇼음악중심	백상예술대상	와이지		바르셀로나	판다	SHINee WORLD	코로나19	LEE KI TAEK	이기택	춘천	레지			NHK	어느 날 우리집 현관으로 멸망이 들어왔다		카카오게임즈
TWICE	몬스타엑스	퓨처 베이스	리사	걸그룹	Return	Gone	신서유기		빌보드	가요대제전	제왑		방콕	플로버	STAY	팔로잉	LEE WOO JE	이우제	인제	마이코			넷플	파이프라인		카카오TV
TXT	방탄소년단	힙합	마시호	여성보컬	Road Fighter	Good Bye Baby	쇼미		위버스	골든디스크어워즈	제왚		버밍엄	미라클	SWITCH	플레이리스트	PARK SOO YEON	박수연	속초	배달부			에이치비오	그 해 우리는		케이뱅크
WayV	볼빨간사춘기	힙합 음악	바비	여성솔로	SQUARE ONE	HAPPENING	스트릿우먼파이터		인스타그램	빌보드뮤직어워즈	제와피		베를린	오빛	THE B	핫플레이스	KWON HAN SOL	권한솔	인천	사회복지사			디플	너를 닮은 사람		메가박스
wooah	비투비	하우스	박정우	여성그룹	SQUARE TWO	HEARTBREAKER	스우파		채널A	아메리칸뮤직어워즈	제이와이피		베이징	블링크	wow	히로인	PARK HYEONG SEOP	박형섭	서울	상담사			유튭	달리와 감자탕		로블록스
AKDONG MUSICIAN	샤이니	어반	방예담	여자그룹	SQURE UP	High High	스걸파		카카오TV	아시아모델어워즈	AP엔터테인먼트		브리즈번	아이코닉	BLINK	호캉스	WANG YI JUN	왕이준	과천	설서인			유툽	하이클래스		당근마켓
