ALWAYS,,,0,NNP,*,T,ALWAYS,*,*,*,*,*
HOT ISSUE,,,0,NNP,*,T,HOT ISSUE,*,*,*,*,*
STAND UP,,,0,NNP,*,T,STAND UP,*,*,*,*,*
MADE,,,0,NNP,*,T,MADE,*,*,*,*,*
FANTASTIC BABY ,,,0,NNP,*,T,FANTASTIC BABY ,*,*,*,*,*
2014 S/S,,,0,NNP,*,T,2014 S/S,*,*,*,*,*
ALIVE,,,0,NNP,*,T,ALIVE,*,*,*,*,*
ALWAYS,,,0,NNP,*,T,ALWAYS,*,*,*,*,*
BIGBANG,,,0,NNP,*,T,BIGBANG,*,*,*,*,*
BIGBANG 03,,,0,NNP,*,T,BIGBANG 03,*,*,*,*,*
BIGBANG IS V.I.P.,,,0,NNP,*,T,BIGBANG IS V.I.P.,*,*,*,*,*
Com’ Back,,,0,NNP,*,T,Com’ Back,*,*,*,*,*
CROSS,,,0,NNP,*,T,CROSS,*,*,*,*,*
EVERYD4Y,,,0,NNP,*,T,EVERYD4Y,*,*,*,*,*
EXIT : E,,,0,NNP,*,T,EXIT : E,*,*,*,*,*
Good Boy,,,0,NNP,*,T,Good Boy,*,*,*,*,*
HOT ISSUE,,,0,NNP,*,T,HOT ISSUE,*,*,*,*,*
i DECIDE,,,0,NNP,*,T,i DECIDE,*,*,*,*,*
LALISA,,,0,NNP,*,T,LALISA,*,*,*,*,*
NEW KIDS : CONTINUE,,,0,NNP,*,T,NEW KIDS : CONTINUE,*,*,*,*,*
NEW KIDS : THE FINAL,,,0,NNP,*,T,NEW KIDS : THE FINAL,*,*,*,*,*
NEXT EPISODE,,,0,NNP,*,T,NEXT EPISODE,*,*,*,*,*
PLAY,,,0,NNP,*,T,PLAY,*,*,*,*,*
R,,,0,NNP,*,T,R,*,*,*,*,*
Remember,,,0,NNP,*,T,Remember,*,*,*,*,*
Return,,,0,NNP,*,T,Return,*,*,*,*,*
Road Fighter,,,0,NNP,*,T,Road Fighter,*,*,*,*,*
SQUARE ONE,,,0,NNP,*,T,SQUARE ONE,*,*,*,*,*
SQUARE TWO,,,0,NNP,*,T,SQUARE TWO,*,*,*,*,*
SQURE UP,,,0,NNP,*,T,SQURE UP,*,*,*,*,*
STAND UP,,,0,NNP,*,T,STAND UP,*,*,*,*,*
STILL ALIVE,,,0,NNP,*,T,STILL ALIVE,*,*,*,*,*
SUMMER EPISODE,,,0,NNP,*,T,SUMMER EPISODE,*,*,*,*,*
THE ALBUM,,,0,NNP,*,T,THE ALBUM,*,*,*,*,*
WE,,,0,NNP,*,T,WE,*,*,*,*,*
WELCOME BACK,,,0,NNP,*,T,WELCOME BACK,*,*,*,*,*
Welcome To The Sechskies Land,,,0,NNP,*,T,Welcome To The Sechskies Land,*,*,*,*,*
꽃 길,,,0,NNP,*,T,꽃 길,*,*,*,*,*
빅뱅 스페셜 에디션,,,0,NNP,*,T,빅뱅 스페셜 에디션,*,*,*,*,*
사춘기 상,,,0,NNP,*,T,사춘기 상,*,*,*,*,*
사춘기 하,,,0,NNP,*,F,사춘기 하,*,*,*,*,*
싱글 A,,,0,NNP,*,T,싱글 A,*,*,*,*,*
싱글 D,,,0,NNP,*,T,싱글 D,*,*,*,*,*
싱글 E,,,0,NNP,*,T,싱글 E,*,*,*,*,*
싱글 M,,,0,NNP,*,T,싱글 M,*,*,*,*,*
학원별곡,,,0,NNP,*,T,학원별곡,*,*,*,*,*
항해,,,0,NNP,*,T,항해,*,*,*,*,*
Heartbreaker,,,0,NNP,*,T,Heartbreaker,*,*,*,*,*
삐딱하게 (Crooked),,,0,NNP,*,T,삐딱하게 (Crooked),*,*,*,*,*
거짓말,,,0,NNP,*,T,거짓말,*,*,*,*,*
뱅뱅뱅 (BANG BANG BANG),,,0,NNP,*,T,뱅뱅뱅 (BANG BANG BANG),*,*,*,*,*
LOSER,,,0,NNP,*,T,LOSER,*,*,*,*,*
BAE BAE,,,0,NNP,*,T,BAE BAE,*,*,*,*,*
