BIGBANG,,,0,NNP,인명,T,BIGBANG,*,*,*,*,*
Boy Band,,,0,NNP,인명,T,Boy Band,*,*,*,*,*
WINNER,,,0,NNP,인명,T,WINNER,*,*,*,*,*
 SS501,,,0,NNP,인명,T, SS501,*,*,*,*,*
2NE1,,,0,NNP,인명,T,2NE1,*,*,*,*,*
(G)I-DLE,,,0,NNP,인명,T,(G)I-DLE,*,*,*,*,*
AB6IX,,,0,NNP,인명,T,AB6IX,*,*,*,*,*
BOL4,,,0,NNP,인명,T,BOL4,*,*,*,*,*
BTS,,,0,NNP,인명,T,BTS,*,*,*,*,*
ENHYPEN,,,0,NNP,인명,T,ENHYPEN,*,*,*,*,*
EXO,,,0,NNP,인명,T,EXO,*,*,*,*,*
fromis_9,,,0,NNP,인명,T,fromis_9,*,*,*,*,*
HYBE LABELS,,,0,NNP,인명,T,HYBE LABELS,*,*,*,*,*
ITZY,,,0,NNP,인명,T,ITZY,*,*,*,*,*
JYP ENTERTAINMENT,,,0,NNP,인명,T,JYP ENTERTAINMENT,*,*,*,*,*
MONSTA X,,,0,NNP,인명,T,MONSTA X,*,*,*,*,*
NCT,,,0,NNP,인명,T,NCT,*,*,*,*,*
NCT 127,,,0,NNP,인명,T,NCT 127,*,*,*,*,*
NCT DREAM,,,0,NNP,인명,T,NCT DREAM,*,*,*,*,*
NCT U,,,0,NNP,인명,T,NCT U,*,*,*,*,*
Red Velvet,,,0,NNP,인명,T,Red Velvet,*,*,*,*,*
SF9,,,0,NNP,인명,T,SF9,*,*,*,*,*
SHINee,,,0,NNP,인명,T,SHINee,*,*,*,*,*
SM ENTERTAINMENT,,,0,NNP,인명,T,SM ENTERTAINMENT,*,*,*,*,*
Stray Kids,,,0,NNP,인명,T,Stray Kids,*,*,*,*,*
TWICE,,,0,NNP,인명,T,TWICE,*,*,*,*,*
TXT,,,0,NNP,인명,T,TXT,*,*,*,*,*
WayV,,,0,NNP,인명,T,WayV,*,*,*,*,*
wooah,,,0,NNP,인명,T,wooah,*,*,*,*,*
AKDONG MUSICIAN,,,0,NNP,인명,T,AKDONG MUSICIAN,*,*,*,*,*
AKMU,,,0,NNP,인명,T,AKMU,*,*,*,*,*
BIGBANG,,,0,NNP,인명,T,BIGBANG,*,*,*,*,*
BLACKPINK,,,0,NNP,인명,T,BLACKPINK,*,*,*,*,*
BOBBY,,,0,NNP,인명,T,BOBBY,*,*,*,*,*
CHAN,,,0,NNP,인명,T,CHAN,*,*,*,*,*
Chanhyuk,,,0,NNP,인명,T,Chanhyuk,*,*,*,*,*
DAESUNG,,,0,NNP,인명,T,DAESUNG,*,*,*,*,*
DK,,,0,NNP,인명,T,DK,*,*,*,*,*
EUN JIWON,,,0,NNP,인명,T,EUN JIWON,*,*,*,*,*
GD X TAEYANG,,,0,NNP,인명,T,GD X TAEYANG,*,*,*,*,*
GD&TOP,,,0,NNP,인명,T,GD&TOP,*,*,*,*,*
G-DRAGON,,,0,NNP,인명,T,G-DRAGON,*,*,*,*,*
HOONY,,,0,NNP,인명,T,HOONY,*,*,*,*,*
iKon,,,0,NNP,인명,T,iKon,*,*,*,*,*
JAY,,,0,NNP,인명,T,JAY,*,*,*,*,*
JENNIE,,,0,NNP,인명,T,JENNIE,*,*,*,*,*
JINU,,,0,NNP,인명,T,JINU,*,*,*,*,*
JISOO,,,0,NNP,인명,T,JISOO,*,*,*,*,*
JU-NE,,,0,NNP,인명,T,JU-NE,*,*,*,*,*
KRUNK,,,0,NNP,인명,T,KRUNK,*,*,*,*,*
LISA,,,0,NNP,인명,T,LISA,*,*,*,*,*
MINO,,,0,NNP,인명,T,MINO,*,*,*,*,*
ROSÉ,,,0,NNP,인명,T,ROSÉ,*,*,*,*,*
SECHSKIES,,,0,NNP,인명,T,SECHSKIES,*,*,*,*,*
SONG,,,0,NNP,인명,T,SONG,*,*,*,*,*
Suhyun,,,0,NNP,인명,T,Suhyun,*,*,*,*,*
T.O.P,,,0,NNP,인명,T,T.O.P,*,*,*,*,*
TAEYANG,,,0,NNP,인명,T,TAEYANG,*,*,*,*,*
TREASURE,,,0,NNP,인명,T,TREASURE,*,*,*,*,*
WINNER,,,0,NNP,인명,T,WINNER,*,*,*,*,*
YOON,,,0,NNP,인명,T,YOON,*,*,*,*,*
EVERGLOW,,,0,NNP,인명,T,EVERGLOW,*,*,*,*,*
IVE,,,0,NNP,인명,T,IVE,*,*,*,*,*
MOMOLAND,,,0,NNP,인명,T,MOMOLAND,*,*,*,*,*
PSY,,,0,NNP,인명,T,PSY,*,*,*,*,*
EXID,,,0,NNP,인명,T,EXID,*,*,*,*,*
N.Flying,,,0,NNP,인명,T,N.Flying,*,*,*,*,*
DAY6,,,0,NNP,인명,T,DAY6,*,*,*,*,*
빅뱅,,,0,NNP,인명,T,빅뱅,*,*,*,*,*
보이그룹,,,0,NNP,인명,T,보이그룹,*,*,*,*,*
SG워너비,,,0,NNP,인명,F,SG워너비,*,*,*,*,*
김종국,,,0,NNP,인명,T,김종국,*,*,*,*,*
버즈,,,0,NNP,인명,F,버즈,*,*,*,*,*
동방신기,,,0,NNP,인명,F,동방신기,*,*,*,*,*
슈퍼주니어,,,0,NNP,인명,F,슈퍼주니어,*,*,*,*,*
양현석,,,0,NNP,인명,T,양현석,*,*,*,*,*
EXO,,,0,NNP,인명,T,EXO,*,*,*,*,*
위너,,,0,NNP,인명,F,위너,*,*,*,*,*
젝스키스,,,0,NNP,인명,F,젝스키스,*,*,*,*,*
GD X TAEYANG,,,0,NNP,인명,T,GD X TAEYANG,*,*,*,*,*
GD&TOP,,,0,NNP,인명,T,GD&TOP,*,*,*,*,*
블랙핑크,,,0,NNP,인명,F,블랙핑크,*,*,*,*,*
악동뮤지션,,,0,NNP,인명,T,악동뮤지션,*,*,*,*,*
아이콘,,,0,NNP,인명,T,아이콘,*,*,*,*,*
악뮤,,,0,NNP,인명,F,악뮤,*,*,*,*,*
젝스키스,,,0,NNP,인명,F,젝스키스,*,*,*,*,*
젝키,,,0,NNP,인명,F,젝키,*,*,*,*,*
하이수현,,,0,NNP,인명,T,하이수현,*,*,*,*,*
(여자)아이들,,,0,NNP,인명,T,(여자)아이들,*,*,*,*,*
뉴이스트,,,0,NNP,인명,F,뉴이스트,*,*,*,*,*
더보이즈,,,0,NNP,인명,F,더보이즈,*,*,*,*,*
레드벨벳,,,0,NNP,인명,T,레드벨벳,*,*,*,*,*
마마무,,,0,NNP,인명,F,마마무,*,*,*,*,*
몬스타엑스,,,0,NNP,인명,F,몬스타엑스,*,*,*,*,*
방탄소년단,,,0,NNP,인명,T,방탄소년단,*,*,*,*,*
볼빨간사춘기,,,0,NNP,인명,F,볼빨간사춘기,*,*,*,*,*
비투비,,,0,NNP,인명,F,비투비,*,*,*,*,*
샤이니,,,0,NNP,인명,F,샤이니,*,*,*,*,*
세븐틴,,,0,NNP,인명,T,세븐틴,*,*,*,*,*
소녀시대,,,0,NNP,인명,T,소녀시대,*,*,*,*,*
슈퍼주니어,,,0,NNP,인명,F,슈퍼주니어,*,*,*,*,*
스테이씨,,,0,NNP,인명,F,스테이씨,*,*,*,*,*
스트레이키즈,,,0,NNP,인명,F,스트레이키즈,*,*,*,*,*
아스트로,,,0,NNP,인명,F,아스트로,*,*,*,*,*
에스파,,,0,NNP,인명,F,에스파,*,*,*,*,*
에이비식스,,,0,NNP,인명,F,에이비식스,*,*,*,*,*
에이티즈,,,0,NNP,인명,F,에이티즈,*,*,*,*,*
에이핑크,,,0,NNP,인명,F,에이핑크,*,*,*,*,*
엑소,,,0,NNP,인명,F,엑소,*,*,*,*,*
엔시티,,,0,NNP,인명,F,엔시티,*,*,*,*,*
엔하이픈,,,0,NNP,인명,T,엔하이픈,*,*,*,*,*
오마이걸,,,0,NNP,인명,T,오마이걸,*,*,*,*,*
우아,,,0,NNP,인명,F,우아,*,*,*,*,*
위클리,,,0,NNP,인명,F,위클리,*,*,*,*,*
이달의 소녀,,,0,NNP,인명,F,이달의 소녀,*,*,*,*,*
있지,,,0,NNP,인명,F,있지,*,*,*,*,*
크래비티,,,0,NNP,인명,F,크래비티,*,*,*,*,*
태티서,,,0,NNP,인명,F,태티서,*,*,*,*,*
투모로우바이투게더,,,0,NNP,인명,F,투모로우바이투게더,*,*,*,*,*
트와이스,,,0,NNP,인명,F,트와이스,*,*,*,*,*
프로미스나인,,,0,NNP,인명,T,프로미스나인,*,*,*,*,*
골든차일드,,,0,NNP,인명,F,골든차일드,*,*,*,*,*
베리베리,,,0,NNP,인명,F,베리베리,*,*,*,*,*
온앤오프,,,0,NNP,인명,F,온앤오프,*,*,*,*,*
원어스,,,0,NNP,인명,F,원어스,*,*,*,*,*
펜타곤,,,0,NNP,인명,T,펜타곤,*,*,*,*,*
라붐,,,0,NNP,인명,T,라붐,*,*,*,*,*
브레이브걸스,,,0,NNP,인명,F,브레이브걸스,*,*,*,*,*
에버글로우,,,0,NNP,인명,F,에버글로우,*,*,*,*,*
우주소녀,,,0,NNP,인명,F,우주소녀,*,*,*,*,*
아이브,,,0,NNP,인명,F,아이브,*,*,*,*,*
모모랜드,,,0,NNP,인명,F,모모랜드,*,*,*,*,*
싸이,,,0,NNP,인명,F,싸이,*,*,*,*,*
블핑,,,0,NNP,인명,T,블핑,*,*,*,*,*
옴걸,,,0,NNP,인명,T,옴걸,*,*,*,*,*
방탄,,,0,NNP,인명,T,방탄,*,*,*,*,*
볼빨사,,,0,NNP,인명,F,볼빨사,*,*,*,*,*
레벨,,,0,NNP,인명,T,레벨,*,*,*,*,*
